RegionName,id,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Oregon,41,163494.67,169553.17,176796.58,186160.75,201317,230703.83,273788.83,292154.42,279570.17,251676.08,236900.67,217038.08,213741.17,234831.08,255345,275180.42,304878.42,332221.17,354037.5,367332.17,386366,451477,512505
Oklahoma,40,82332.17,86480,89723.5,92871.25,96201.33,100291.75,104853.08,108369,109753.08,109484.83,110404.83,107607.5,107636.42,110060.58,113251.33,117332.08,120539.75,124696.08,128662.75,133339.67,141096.25,157515,180688.78
Connecticut,9,178054.67,193695.92,214103,240080.92,268623.5,301937.17,324158.92,322048.25,303043.58,279575.83,268240.83,252879.58,238012.25,242254.25,244469,242610.83,242554,248454.08,255114.67,258190.33,267229.2,313198.58,350314.44
Iowa,19,98824.58,103397.58,107698.08,112109.42,116646.08,122059.75,126678.5,129329.5,129629.33,127994.67,127393,124359.75,124721.83,128189,131706.5,135626.25,140715,146721.67,152388,157938.83,162396,177981.7,194010.67
Utah,49,183926.75,189659.92,190899.33,190926.42,193751,198820.58,220654.67,254855.92,257809.5,233410.83,219180.92,202687.58,204395.92,226984.92,240798.5,253201.67,273578.33,298104.5,326923.25,352458.25,378907.33,468694.75,560828.67
Arkansas,5,82936,86740.33,89321.42,93142.83,98296,105551.17,112706.83,115621.92,115247.67,111430.33,109767.17,106652.17,107546.92,110017.17,111680.67,114333.58,118127.58,122929.08,128573.58,133951.83,139629.42,157638.73,180234.56
Mississippi,28,87241.42,91720.25,94329.83,97175.42,100421.25,106039.5,114702,120828.75,119380.08,115363.33,112303.92,109876.17,108656.75,107866.33,108911.67,113468.58,116308.33,119855.17,124173.42,129319.67,134031.33,147057.17,166119.89
Nevada,32,165408.67,174693,185859.17,202304.33,259967.36,329361.83,349563.33,330654.83,256053.5,181633.83,155368.17,139918.67,137543.75,170006.25,197376.42,211813.5,227668.33,246347.17,283026.58,299919,311228.5,369040.33,449678.56
Kansas,20,97958.5,103948.58,107842.58,110555.92,115819.08,122376.58,126017.75,130092.67,131368.83,130700.92,130100.33,125873.25,124856.33,126619.67,129002.5,133553.17,138853.08,145398.75,152978.83,159574.08,166718.09,188794.58,208938.78
New Mexico,35,,,138725,142352.08,150092.08,161162.33,182815.67,196898.25,195055.08,185134.75,178949.33,168904.83,165249.17,167456.17,171853.92,173380.25,177535.67,183533.67,190895.08,201713.25,215490.58,249925.83,288893.44
Nebraska,31,122272.42,116457.17,117106.58,122164,128375.92,133690.42,137831.08,138930.33,135386,133552.5,134979.42,130881.33,131185.58,136813.42,141045.83,147647.67,154474,164966.58,176085.75,185667.58,194944,219443.42,243506.78
West Virginia,54,72369.75,76421.42,78953.42,82203.5,87331.25,94297.08,98612.17,100900.17,101684.2,98972.5,96929.33,95531.83,95701.5,97467.92,99830.25,102363.58,104855.17,106982,110823.5,114334.92,117268.75,126138.91,141187.22
Idaho,16,127904.58,132661,136602.33,140123.83,146296.83,159889.22,195845.33,205896.42,203780.75,181706,164838.33,148575.25,153424.67,172245.92,182106.33,190839,206141.33,224384.17,252550.67,282711.08,314472.67,421803.18,474123.78
Hawaii,15,226947.25,240267.75,258849,295545.58,360194.75,452881.25,534475.83,545383.83,533303.33,487006.17,479478.33,478541.25,476758.92,502335.92,542313.42,562866.08,585898.67,619921.5,647011.42,657697.42,665043.17,744641.67,877039.78
New Hampshire,33,145902.42,167177.5,189433.17,214987.67,239176.42,262588.58,271642.92,263724.58,248274.25,230349.83,223546.58,216476.58,211338.17,218772.33,227477.33,235941.25,244887.75,259811.67,276718.83,288798.67,307566.25,364373.58,423490.11
Maine,23,120610,133878.5,149850.67,167128.5,190384,213013.67,220454.42,219610.67,213992.08,199446.25,193843.08,189634.58,186746.67,190271,191726.67,196230.33,205401.83,217829.75,231152.67,241285,260560.42,311441.75,358018.56
Rhode Island,44,150070.42,166229.92,193467.25,232319.25,273801.83,311019.42,324544.25,310030.58,286907.5,252633.25,248717.17,235737.25,222803.17,230165.08,240356.42,244417,256716.83,272272.67,291236.92,299670.08,316588.92,372558.58,423972
Montana,30,,,,,,189030.18,205050.08,217511.67,221687.08,217462.17,210989.33,204175.67,206637,215945.67,226575.58,236218.75,243849.92,255358,269833.33,285094,302195.92,368800.09,444046.56
Delaware,10,155839.08,165114.08,176508.75,193179.58,215978.08,249596.33,276460.42,282915.42,272071.25,253438.08,244856.25,229025.17,216865.83,216231.25,225766.92,232509.5,240329.75,246800.75,256149.58,263209.25,271543,310528.42,350928
South Dakota,46,118050.42,120003.92,123585.33,128641.08,136082.17,145628,152486.92,157195.83,161370.67,160877.67,159727.42,159054.42,160281.92,165732.58,171414.25,178613.75,187672.17,198643.33,208302.67,218365.33,226964,261880.44,294780.78
North Dakota,38,,,,,,,,,,170332.17,170909.58,173015.92,179112.25,196733.58,211609.92,225698.67,232654.5,234535.92,235469,237603.33,241670.25,255855.17,277360.33
Alaska,2,133225.92,153984.5,166630.67,175146.17,188801.67,206179.42,224110.67,237374.5,242041.5,241595.17,242347.58,239337.08,242707.42,249202.33,256812.17,265197.67,269986.5,271091.67,272908.25,288520.36,293308.5,303106.75,322827.56
District of Columbia,11,195088.33,212897.17,244498.83,286241.75,335920.58,405315.83,449221.17,448773.42,437092.33,414324.83,413821.83,409854.5,419232.25,463806.25,511126.33,518662,541229.5,567110.17,588315.5,612693.58,628505.33,661683.83,685356.44
Vermont,50,132157.67,142865.17,155140.58,167615.64,186830.33,209666.83,229810.58,240273,241080,235197.33,231911.08,231520.83,230732.58,230815.25,231024,232970.25,235075.75,242156.25,252518.75,260804.75,269917.33,305552.92,353559.67
Wyoming,56,,,150219.67,155451.42,166103.25,180214.42,196829.5,212314,216061.42,212172.92,208851.08,206875.83,210564.08,217836.25,225294.58,233928.08,238924.92,240491.67,248908,260832.67,272222,291705.27,330143
